internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
55453,Boana clepsydra,"Hyla clepsydra A. Lutz, 1925",Hyla,clepsydra,"A. Lutz, 1925",,
55453,Boana clepsydra,"Bokermannohyla clepsydra (A. Lutz, 1925)",Bokermannohyla,clepsydra,"(A. Lutz, 1925)",,
73727195,Leptobrachella botsfordi,"Leptolalax botsfordi Rowley, Dau &amp; Nguyen, 2013",Leptolalax,botsfordi,"Rowley, Dau &amp; Nguyen, 2013",,
54559,Atelopus tricolor,"Atelopus rugulosus Noble, 1921",Atelopus,rugulosus,"Noble, 1921",,
54559,Atelopus tricolor,"Atelopus willimani Donoso-Barros, 1969",Atelopus,willimani,"Donoso-Barros, 1969",,
21168,Speonectes tiomanensis,"Sundoreonectes tiomanensis Kottelat, 1990",Sundoreonectes,tiomanensis,"Kottelat, 1990",,
18067,Poropuntius tawarensis,"Puntius tawarensis Weber & de Beaufort, 1916",Puntius,tawarensis,"Weber & de Beaufort, 1916",,
92252436,Erythrocebus baumstarki,"Erythrocebus patas ssp. baumstarki Matschie, 1905",Erythrocebus,patas,,subspecies,"Matschie, 1905"
19940,Scaphirhynchus albus,"Parascaphirhynchus albus Forbes & Richardson, 1905",Parascaphirhynchus,albus,"Forbes & Richardson, 1905",,
54493,Atelopus boulengeri,"Atelopus bicolor Noble, 1921",Atelopus,bicolor,"Noble, 1921",,
54522,Atelopus longirostris,"Phryniscus boussingaulti Thominot, 1889",Phryniscus,boussingaulti,"Thominot, 1889",,
54522,Atelopus longirostris,"Atelopus longirostris ssp. marmorata Werner, 1901",Atelopus,longirostris,,subspecies,"Werner, 1901"
55046,Hyloxalus anthracinus,"Colostethus anthracinus Edwards, 1971",Colostethus,anthracinus,"Edwards, 1971",,
55077,Hyloxalus exasperatus,"Colostethus exasperatus Duellman & Lynch, 1988",Colostethus,exasperatus,"Duellman & Lynch, 1988",,
